Benchmark	Advice#	Advice	Pattern	Size	Precision	Concreteness
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, CompositeFigure.addAll(FigureEnumeration;)]	2	0.3333333333333333	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, GroupFigure.<init>()]	2	0.3333333333333333	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, DrawingView.drawing()]	2	0.06862745098039216	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, StandardDrawingView.addToSelection(Figure;)]	2	0.2	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, DrawingView.selection()]	2	0.1875	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, FigureEnumerator.reset()]	2	0.047619047619047616	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, NullDrawingView.clearSelection()]	2	0.16666666666666666	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, Iterator.hasNext()]	2	0.04	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, FigureAndEnumerator.nextFigure(), calls, ?]	2	0.017605633802816902	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, gets_field, ReverseFigureEnumerator.myIterator]	2	0.042735042735042736	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, NullDrawingView.selection()]	1	0.4166666666666667	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, overrides, FigureEnumeration.hasNextFigure()]	2	0.05217391304347826	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, StandardDrawingView.selectionZOrdered()]	2	0.4	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, gets_field, FigureAndEnumerator.myFE2]	2	0.04310344827586207	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, overrides, DrawingView.selection()]	2	0.3333333333333333	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, gets_field, SingleFigureEnumerator.mySingleFigure]	2	0.03875968992248062	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, gets_field, FigureAndEnumerator.myFE1]	2	0.04310344827586207	0.3333333333333333	
